,Unnamed: 0,구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV수,범죄,검거
0,0,강남구,0.9999999999999998,0.9411764705882352,0.9166666666666666,0.9534724598015736,0.6613856703712462,77.728285077951,85.71428571428571,76.92307692307693,42.857142857142854,86.48459383753502,570500.0,2780,4.472701267427722,369.7073844099915
1,1,강동구,0.1556195965417867,0.05882352941176466,0.16666666666666666,0.4457748888128634,0.28966658784582644,78.84615384615384,100.0,75.0,33.34742180896027,82.89085545722715,453233.0,773,1.116551269278908,370.08443111234124
2,2,강북구,0.14697406340057634,0.5294117647058822,0.4166666666666666,0.12692439274717754,0.2747694490423268,82.35294117647058,92.85714285714286,100.0,43.09623430962343,88.63722159305401,330192.0,748,1.4947463365626297,406.9435399362909
3,3,관악구,0.6282420749279538,0.4117647058823529,0.5833333333333334,0.5620937393089291,0.4282336249704423,69.0625,100.0,88.88888888888891,30.561714708056172,80.10915706488781,525515.0,1496,2.6136674784230114,368.6222606618329
4,4,광진구,0.3976945244956772,0.5294117647058822,0.16666666666666666,0.6715703044816969,0.26909434854575554,91.66666666666666,100.0,100.0,42.200925313945795,83.04761904761905,372164.0,707,2.0344376088956784,416.91521102823145
5,5,구로구,0.5158501440922191,0.588235294117647,0.5,0.4351693465617516,0.3594230314495153,58.36298932384342,73.33333333333333,75.0,38.072805139186286,80.87795144662455,447874.0,1561,2.3986778162211326,325.6470792429876
6,6,금천구,0.14121037463976946,0.05882352941176466,0.08333333333333334,0.17242559014710912,0.13407424923149686,80.79470198675497,100.0,100.0,56.66879387364391,86.46543330087636,255082.0,1015,0.5898670767634735,423.92892916127516
7,7,노원구,0.2737752161383285,0.11764705882352935,0.6666666666666666,0.3865891207663359,0.2922676755734216,61.421319796954315,100.0,100.0,36.525307797537614,85.53066470804261,569384.0,1265,1.736945737968282,383.47729230253447
8,8,도봉구,0.0,0.2352941176470588,0.08333333333333334,0.0,0.0,100.0,100.0,100.0,44.967074317968006,87.62609280430397,348646.0,485,0.3186274509803921,432.593167122272
9,9,동대문구,0.20461095100864551,0.4705882352941176,0.25,0.3140608963393773,0.25088673445258924,84.39306358381505,100.0,100.0,41.090358404846036,87.40188383045526,369496.0,1294,1.4901468170947298,412.8853058191163
10,10,동작구,0.5273775216138328,0.2352941176470588,0.25,0.2743756414642491,0.10002364625206904,48.771929824561404,55.55555555555557,100.0,35.442359249329755,83.08900523560209,412520.0,1091,1.3870709269772097,322.85884986504885
11,11,마포구,0.5533141210374639,0.5294117647058822,0.5,0.5104344851180294,0.35374793095294393,84.01360544217688,71.42857142857143,100.0,31.819960861056753,84.44518940663761,389649.0,574,2.4469083018143194,371.7073271384427
12,12,서대문구,0.1498559077809798,0.0,0.0,0.2562435853575093,0.13454717427287774,80.51948051948051,80.0,100.0,40.72847682119205,83.21984435797665,327163.0,962,0.5406466674113669,384.4678016986492
13,13,서초구,0.8386167146974062,0.2352941176470588,0.5,0.5378036264112214,0.2156538188697092,63.35877862595419,66.66666666666666,75.0,41.40417457305503,87.45310546060858,450310.0,1930,2.3273682776253954,333.88272532628446
14,14,성동구,0.06916426512968299,0.2352941176470588,0.16666666666666666,0.18611016079370515,0.029557815086308836,94.44444444444444,88.88888888888891,100.0,37.14996888612321,86.53846153846155,311244.0,1062,0.6867930253234225,407.0217637579181
15,15,성북구,0.13832853025936598,0.0,0.25,0.2470065001710571,0.1707259399385198,82.66666666666667,80.0,100.0,41.51260504201681,83.97464916251698,461260.0,1464,0.8060609703689429,388.1539208712005
16,16,송파구,0.34005763688760804,0.4705882352941176,0.75,0.7444406431748204,0.4275242374083708,80.9090909090909,76.92307692307693,90.9090909090909,34.85643717196666,84.55235204855843,667483.0,618,2.732610752764917,368.1500479617839
17,17,양천구,0.8069164265129682,0.8235294117647058,0.6666666666666666,1.0,1.0,77.4869109947644,84.21052631578947,100.0,48.469643753135976,83.06508047585724,479978.0,2034,4.297112504944341,393.2321615395471
18,18,영등포구,0.5561959654178674,1.0,1.0,0.6503592199794731,0.4930243556396311,62.03389830508476,90.9090909090909,85.71428571428571,32.99595141700405,82.89473684210526,402985.0,904,3.6995795410369716,354.5479631875707
19,19,용산구,0.2651296829971181,0.5294117647058822,0.25,0.16900444748546015,0.13312839914873498,89.17525773195877,100.0,100.0,37.70070648683366,83.12195121951221,244203.0,1624,1.3466742943371957,409.9979154383046
20,20,은평구,0.18443804034582129,0.2352941176470588,0.08333333333333334,0.2911392405063291,0.27571529912508874,84.93975903614458,66.66666666666666,100.0,37.1473354231975,86.92046739540146,494388.0,1873,1.069920030957631,375.6742285214102
21,21,종로구,0.31412103746397696,0.35294117647058826,0.33333333333333337,0.3835100923708519,0.19058879167651926,76.30331753554502,81.81818181818183,83.33333333333334,38.32417582417583,84.21282163105103,162820.0,1002,1.5744944313152698,363.9918301422872
22,22,중구,0.19596541786743515,0.2352941176470588,0.08333333333333334,0.5080396852548751,0.1742728777488768,65.29411764705883,66.66666666666666,66.66666666666666,33.712715855573,88.30935251798559,133240.0,671,1.196905431851579,320.64951935395067
23,23,중랑구,0.24495677233429397,0.35294117647058826,0.9166666666666666,0.3667464933287717,0.32158902813904,79.14438502673798,81.81818181818183,92.30769230769228,38.829039812646364,84.54513523006673,414503.0,660,2.2029001369393604,376.6444341953254
